教室,緯度,経度
3K426,36.1120548,140.0992888
3L103,36.11135,140.099146
3L201,36.11135,140.099146
3L202,36.11135,140.099146
3L203,36.11135,140.099146
3L204,36.11135,140.099146
3L205,36.11135,140.099146
3L206,36.11135,140.099146
3L207,36.11135,140.099146
3L504,36.11135,140.099146
4A103,36.093878,140.102854
4A104,36.093878,140.102854
4A203,36.093878,140.102854
4A204,36.093878,140.102854
4A304,36.093878,140.102854
4A409,36.093878,140.102854
4A411,36.093878,140.102854
4B101,36.094694,140.102618
4B115,36.094694,140.102618
4B119,36.094694,140.102618
4B206,36.094694,140.102618
4B209,36.094694,140.102618
4B212,36.094694,140.102618
4B214,36.094694,140.102618
4B302,36.094694,140.102618
4C202,36.094491,140.102973
4C講義室B,36.094491,140.102973
4E608,36.093682,140.101249
4F106,,
4F204,,
4F305,,
4F410PC室,,
5C108,36.103452,140.102961
5C109,36.103452,140.102961
5C111,36.103452,140.102961
5C112,36.103452,140.102961
5C113,36.103452,140.102961
5C114,36.103452,140.102961
5C119,36.103452,140.102961
5C203,36.103452,140.102961
5C205,36.103452,140.102961
5C206,36.103452,140.102961
5C212,36.103452,140.102961
5C213,36.103452,140.102961
5C216,36.103452,140.102961
5C301,36.103452,140.102961
5C302,36.103452,140.102961
5C303,36.103452,140.102961
5C306,36.103452,140.102961
5C307,36.103452,140.102961
5C308,36.103452,140.102961
5C311,36.103452,140.102961
5C316,36.103452,140.102961
5C317,36.103452,140.102961
5C402,36.103452,140.102961
5C403,36.103452,140.102961
5C404,36.103452,140.102961
5C406,36.103452,140.102961
5C407,36.103452,140.102961
5C409,36.103452,140.102961
5C410,36.103452,140.102961
5C411,36.103452,140.102961
5C412,36.103452,140.102961
5C413,36.103452,140.102961
5C416,36.103452,140.102961
5C502,36.103452,140.102961
5C503,36.103452,140.102961
5C504,36.103452,140.102961
5C506,36.103452,140.102961
5C507,36.103452,140.102961
5C508,36.103452,140.102961
5C511,36.103452,140.102961
5C512,36.103452,140.102961
5C513,36.103452,140.102961
5C514,36.103452,140.102961
5C515,36.103452,140.102961
5C602,36.103452,140.102961
5C603,36.103452,140.102961
5C604,36.103452,140.102961
5C614,36.103452,140.102961
5C615,36.103452,140.102961
5C616,36.103452,140.102961
5C617,36.103452,140.102961
5F502講義室,,
5F503講義室,,
5F504講義室,,
5F556ゼミ室,,
5F557ゼミ室,,
5F558講義室,,
6A102,36.102881,140.102481
6A103,36.102881,140.102481
6A104,36.102881,140.102481
6A105,36.102881,140.102481
6A110,36.102881,140.102481
6A114,36.102881,140.102481
6A115,36.102881,140.102481
6A203,36.102881,140.102481
6A204,36.102881,140.102481
6A208,36.102881,140.102481
6A208-1,36.102881,140.102481
6A208-2,36.102881,140.102481
6A302,36.102881,140.102481
6A303,36.102881,140.102481
6A306,36.102881,140.102481
6A308,36.102881,140.102481
6A311,36.102881,140.102481
6A403,36.102881,140.102481
6A404,36.102881,140.102481
6A405,36.102881,140.102481
6A408-1,36.102881,140.102481
6A409,36.102881,140.102481
6A410-1,36.102881,140.102481
6A410-2,36.102881,140.102481
6A410-3,36.102881,140.102481
6A413,36.102881,140.102481
6B101,36.102799,140.101993
6B102,36.102799,140.101993
6B104,36.102799,140.101993
6B106,36.102799,140.101993
6B203,36.102799,140.101993
6B302,36.102799,140.101993
6B401,36.102799,140.101993
6B403,36.102799,140.101993
6B404,36.102799,140.101993
6B405,36.102799,140.101993
6B406,36.102799,140.101993
6F648計算機室,,
7A101,36.086503,140.106093
7A102,36.086503,140.106093
7A103,36.086503,140.106093
7A105,36.086503,140.106093
7A106,36.086503,140.106093
7A202,36.086503,140.106093
7A204,36.086503,140.106093
7A205,36.086503,140.106093
7A208,36.086503,140.106093
7A210,36.086503,140.106093
7B106,36.086266,140.10611
7C102,36.086133,140.105823
7C103,36.086133,140.105823
7C202,36.086133,140.105823
8A102,,
8A107,,
8A409,,
8B101,,
8B102,,
8B103,,
8B204,,
8B205,,
8B209,,
8B210,,
8B304,,
8B305,,
8B306,,
8B307,,
9L101,,
9L102,,
9L201,,
9L202,,
9P101,,
9P102,,
9P103,,
9P104,,
9P105,,
9P201,,
9P202,,
9P203,,
9P209,,
CA301,36.104691,140.102505
CA302,36.104691,140.102505
CA304,36.104691,140.102505
CA305,36.104691,140.102505
CA306,36.104691,140.102505
CA307,36.104691,140.102505
CA403,36.104691,140.102505
CA405,36.104691,140.102505
CA406,36.104691,140.102505
CA407,36.104691,140.102505
CA501,36.104691,140.102505
CA503,36.104691,140.102505
COI棟415,36.087481,140.106292
GSI棟301,36.103095,140.104412
GSI棟302,36.103095,140.104412
GSI棟406,36.103095,140.104412
ILC101-103,36.11395,140.100551
SPEC,36.104109,140.104899
